company_name,inventory_month,month,total_opening_value,avg_opening_value,total_receipt_value,avg_receipt_value,total_issue_value,avg_issue_value,total_closing_value,avg_closing_value
HIS EYENESS OPTHALMICS,2022-04-01,April,224931.5,224931.5,117018.2,117018.2,121287.86,121287.86,240429.09,240429.09
SUNWAYS PHARMACEUTICALS(OR,2022-04-01,April,23331.9,23331.9,56258.92,56258.92,41307.57,41307.57,44252.0,44252.0
TASMED(INDIA) PVT.LTD(ASPI,2022-04-01,April,1493.94,1493.94,1195.65,1195.65,0.0,0.0,2689.59,2689.59
SHERINGS,2022-04-01,April,13035.17,13035.17,23247.7,23247.7,15945.89,15945.89,19843.88,19843.88
OCUZEN HEALTH CARE,2022-04-01,April,16751.08,16751.08,0.0,0.0,9535.2,9535.2,7514.18,7514.18
APPLE PHARMACEUTICALS,2022-04-01,April,2951.28,2951.28,13356.09,13356.09,12152.0,12152.0,5358.96,5358.96
SUNWAYS PHARMACEUTICALS(RE,2022-04-01,April,16538.41,16538.41,9202.93,9202.93,12835.41,12835.41,14979.77,14979.77
EXELTIS,2022-04-01,April,0.0,0.0,7885.19,7885.19,7680.0,7680.0,1577.04,1577.04
ENTOD PHARMA-G TECH,2022-04-01,April,17383.66,17383.66,65756.0,65756.0,48784.41,48784.41,41152.92,41152.92
OTHERS,2022-04-01,April,0.0,0.0,175.0,175.0,0.0,0.0,175.0,175.0
DISPOVAN,2022-04-01,April,0.0,0.0,1767.5,1767.5,1565.0,1565.0,350.0,350.0
TASMED (INDIA) PVT LTD(PAS,2022-04-01,April,25758.01,25758.01,40996.92,40996.92,38376.56,38376.56,31569.27,31569.27
HIMEDIA LABORATORIES PVT L,2022-04-01,April,1168.75,1168.75,0.0,0.0,0.0,0.0,1168.75,1168.75
THE RAMARAJU COTTON MILLS,2022-04-01,April,0.0,0.0,876.0,876.0,944.0,944.0,0.0,0.0
ZIVIRA LABS PVT.LTD,2022-04-01,April,201779.83,201779.83,131443.5,131443.5,118750.06,118750.06,240702.52,240702.52
SHERWYN PHARMACEUTICALS PV,2022-04-01,April,515.9,515.9,0.0,0.0,0.0,0.0,515.9,515.9
ALLERGAN INDIA PVT LTD,2022-04-01,April,18130.37,18130.37,5229.66,5229.66,7802.63,7802.63,15788.37,15788.37
ALKEM LABORATORIES LTD,2022-04-01,April,0.0,0.0,157.5,157.5,175.0,175.0,0.0,0.0
SUTURES INDIA,2022-04-01,April,270.0,270.0,0.0,0.0,0.0,0.0,270.0,270.0
HINDUSTAN SYRINGS & MEDICA,2022-04-01,April,0.0,0.0,47.0,47.0,54.0,54.0,0.0,0.0
SURGICARE,2022-04-01,April,1320.0,1320.0,1775.0,1775.0,1987.5,1987.5,1320.0,1320.0
LENORA GLOVE PVT.LTD,2022-04-01,April,662.5,662.5,0.0,0.0,0.0,0.0,662.5,662.5
APPASAMY OCULAR DEVICES P,2022-04-01,April,24946.83,24946.83,50901.65,50901.65,43977.24,43977.24,40148.21,40148.21
SEARLE,2022-04-01,April,0.0,0.0,57.5,57.5,65.0,65.0,0.0,0.0
SUNWAYS PHARMACEUTICALS,2022-04-01,April,57217.5,57217.5,190734.95,190734.95,138405.87,138405.87,130710.63,130710.63
SHERWYN PHARMA(GENORA),2022-04-01,April,38.58,38.58,0.0,0.0,0.0,0.0,38.58,38.58
ENTOD PHARMACEUTICALS LTD,2022-04-01,April,53413.09,53413.09,54155.62,54155.62,66646.63,66646.63,46323.06,46323.06
DYNAMIC TECHNO MEDICALS PV,2022-04-01,April,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0
G.T.RAJ TEX,2022-04-01,April,0.0,0.0,188.0,188.0,198.0,198.0,0.0,0.0
ZIVIRA ASTRA DIVISION,2022-04-01,April,39282.25,39282.25,33804.0,33804.0,29009.97,29009.97,56531.52,56531.52
JMS CO LTD,2022-04-01,April,0.0,0.0,4610.0,4610.0,4965.0,4965.0,0.0,0.0
AJANTA PHARMA LTD,2022-04-01,April,0.0,0.0,6530.23,6530.23,1868.96,1868.96,4737.56,4737.56
SUBHAM PHARMACEUTICALS,2022-04-01,April,6060.76,6060.76,0.0,0.0,0.0,0.0,6060.76,6060.76
NEON LABORATORIES LTD,2022-04-01,April,0.0,0.0,6348.5,6348.5,7097.5,7097.5,0.0,0.0
BORN HEALTHCARE PVT LTD,2022-04-01,April,23.5,23.5,207.5,207.5,230.5,230.5,23.5,23.5
MEDIKLIN HEALTHCARE LTD,2022-05-01,May,1232.5,1087.5,400.0,600.0,720.0,610.0,1087.5,1160.0
RAMAN&WEIL PVT LTD,2022-05-01,May,1020.0,1274.0,1500.0,750.0,2070.0,1352.5,720.0,870.0
3M,2022-05-01,May,0.0,0.0,1056.0,792.0,1200.0,900.0,0.0,0.0
SANGAM HEALTHCARE (SAFTI-N,2022-05-01,May,38.25,38.25,0.0,0.0,0.0,0.0,38.25,38.25
CLARIS OSTUKA,2022-05-01,May,0.0,0.0,845.0,595.0,901.5,635.25,0.0,0.0
RAMSONS,2022-05-01,May,0.0,0.0,269.5,349.75,300.0,400.0,0.0,0.0
CIPLA,2022-05-01,May,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
PRIDE&PRIME PHARMACEUTICAL,2022-05-01,May,13344.96,14052.09,0.0,4434.75,0.0,6678.5,13344.96,13344.96
CARE GROUP,2022-05-01,May,57642.24,46046.89,9369.0,21205.98,16136.12,13983.15,53309.29,55475.77
ALKEM HEALTH SCIENCES,2022-05-01,May,0.0,0.0,306.0,471.75,330.0,508.75,0.0,0.0
TAS MED(INDIA)PVT.LTD(VALL,2022-05-01,May,42541.42,35353.31,40016.46,42555.95,37147.04,36564.06,48678.72,45610.07
ENTOD GLOTEK DIVISION,2022-05-01,May,12382.81,9129.92,13214.8,14507.81,15672.1,13695.03,12478.04,12430.43
VKEY,2022-05-01,May,420.0,525.0,0.0,0.0,0.0,145.0,420.0,420.0
HICARE PHARMA,2022-05-01,May,38688.58,31532.53,3692.0,10147.8,3719.19,2950.83,37491.19,38089.89
TEKAY PRODUCTS,2022-05-01,May,0.0,0.0,200.0,200.0,250.0,250.0,0.0,0.0
MADHU INSTRUMENTS PVT. LTD,2022-05-01,May,1380.0,1380.0,0.0,0.0,1100.0,550.0,230.0,805.0
ENTOD PHAMA(ENSIGHT),2022-05-01,May,30632.01,27875.52,72447.53,53100.54,57624.1,44138.61,56054.95,43343.48
SENSES PHARMACEUTICALS LTD,2022-05-01,May,59645.31,59589.96,33580.23,35653.6,30789.11,36435.73,65401.68,62523.45
AUROLAB,2022-05-01,May,11973.81,13350.69,4558.2,3690.6,6493.68,6342.03,11376.32,11675.06
FSD CARE PHRAMA PVT LTD,2022-05-01,May,6208.2,6208.2,0.0,0.0,0.0,0.0,6208.2,6208.2
HIS EYENESS OPTHALMICS,2022-05-01,May,240429.5,232680.5,53989.15,85503.68,93571.91,107429.89,209721.57,225075.33
SUNWAYS PHARMACEUTICALS(OR,2022-05-01,May,44252.0,33791.95,36874.67,46566.8,35722.91,38515.24,47522.15,45887.08
TASMED(INDIA) PVT.LTD(ASPI,2022-05-01,May,2689.59,2091.77,10831.07,6013.36,8839.7,4419.85,5794.78,4242.18
SHERINGS,2022-05-01,May,19843.88,16439.53,0.0,11623.85,3320.02,9632.96,17452.28,18648.08
OCUZEN HEALTH CARE,2022-05-01,May,7514.18,12132.63,6391.0,3195.5,4719.11,7127.16,9571.38,8542.78
APPLE PHARMACEUTICALS,2022-05-01,May,5358.96,4155.12,0.0,6678.05,0.0,6076.0,5358.96,5358.96
SUNWAYS PHARMACEUTICALS(RE,2022-05-01,May,14979.77,15759.09,4049.84,6626.39,6714.34,9774.88,12708.65,13844.21
EXELTIS,2022-05-01,May,1577.04,788.52,10245.25,9065.22,14999.04,11339.52,0.0,788.52
ENTOD PHARMA-G TECH,2022-05-01,May,41152.94,29268.3,41421.48,53588.74,44756.55,46770.48,42574.48,41863.7
OTHERS,2022-05-01,May,175.0,87.5,0.0,87.5,0.0,0.0,175.0,175.0
DISPOVAN,2022-05-01,May,350.0,175.0,991.0,1379.25,1195.0,1380.0,246.0,298.0
TASMED (INDIA) PVT LTD(PAS,2022-05-01,May,31569.32,28663.67,53414.85,47205.88,41716.54,40046.55,46980.41,39274.84
HIMEDIA LABORATORIES PVT L,2022-05-01,May,1168.75,1168.75,0.0,0.0,0.0,0.0,1168.75,1168.75
THE RAMARAJU COTTON MILLS,2022-05-01,May,0.0,0.0,810.0,843.0,720.0,832.0,162.0,81.0
ZIVIRA LABS PVT.LTD,2022-05-01,May,240702.76,221241.29,92865.64,112154.57,108899.56,113824.81,272758.86,256730.69
SHERWYN PHARMACEUTICALS PV,2022-05-01,May,515.9,515.9,0.0,0.0,0.0,0.0,515.9,515.9
ALLERGAN INDIA PVT LTD,2022-05-01,May,15788.37,16959.37,0.0,2614.83,2726.11,5264.37,12996.4,14392.39
DIAMOND MEDI CARE,2022-05-01,May,0.0,0.0,2220.0,2220.0,2710.0,2710.0,0.0,0.0
SUTURES INDIA,2022-05-01,May,270.0,270.0,0.0,0.0,0.0,0.0,270.0,270.0
SURGICARE,2022-05-01,May,1320.0,1320.0,1296.25,1535.63,1425.0,1706.25,1320.0,1320.0
LENORA GLOVE PVT.LTD,2022-05-01,May,662.5,662.5,0.0,0.0,0.0,0.0,662.5,662.5
APPASAMY OCULAR DEVICES P,2022-05-01,May,40148.21,32547.52,51789.7,51345.68,42930.14,43453.69,55482.79,47815.5
SUNWAYS PHARMACEUTICALS,2022-05-01,May,130710.82,93964.16,149674.23,170204.59,155216.01,146810.94,138360.33,134535.48
SHERWYN PHARMA(GENORA),2022-05-01,May,38.58,38.58,0.0,0.0,0.0,0.0,38.58,38.58
ENTOD PHARMACEUTICALS LTD,2022-05-01,May,46323.06,49868.08,38758.09,46456.85,60309.14,63477.89,32069.23,39196.15
DYNAMIC TECHNO MEDICALS PV,2022-05-01,May,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0
G.T.RAJ TEX,2022-05-01,May,0.0,0.0,376.0,282.0,396.0,297.0,0.0,0.0
ZIVIRA ASTRA DIVISION,2022-05-01,May,56531.54,47906.9,70538.66,52171.33,31030.24,30020.11,113964.08,85247.8
JMS CO LTD,2022-05-01,May,0.0,0.0,2310.0,3460.0,2485.0,3725.0,0.0,0.0
AJANTA PHARMA LTD,2022-05-01,May,4737.56,2368.78,10350.66,8440.45,6756.34,4312.65,8607.66,6672.61
KALPAS INDUSTRIES,2022-05-01,May,0.0,0.0,460.0,460.0,550.0,550.0,0.0,0.0
SUBHAM PHARMACEUTICALS,2022-05-01,May,6060.76,6060.76,0.0,0.0,0.0,0.0,6060.76,6060.76
BORN HEALTHCARE PVT LTD,2022-05-01,May,23.5,23.5,0.0,103.75,0.0,115.25,23.5,23.5
MEDIKLIN HEALTHCARE LTD,2022-06-01,June,1087.5,1087.5,625.0,608.33,1735.0,985.0,362.5,894.17
RAMAN&WEIL PVT LTD,2022-06-01,June,720.0,1089.33,910.0,803.33,1370.0,1358.33,420.0,720.0
SANGAM HEALTHCARE (SAFTI-N,2022-06-01,June,38.25,38.25,637.5,212.5,386.4,128.8,318.75,131.75
CLARIS OSTUKA,2022-06-01,June,0.0,0.0,565.0,585.0,550.6,607.03,3210.0,1070.0
RAMSONS,2022-06-01,June,0.0,0.0,755.0,484.83,975.0,591.67,0.0,0.0
CIPLA,2022-06-01,June,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
GLASS VAN,2022-06-01,June,0.0,0.0,23.5,129.25,25.0,147.5,0.0,0.0
PRIDE&PRIME PHARMACEUTICAL,2022-06-01,June,13344.96,13816.38,0.0,2956.5,0.0,4452.33,13344.96,13344.96
CARE GROUP,2022-06-01,June,53309.29,48467.69,-2588.52,13274.48,5069.96,11012.09,45322.91,52091.48
JOHNSON & JOHNSON,2022-06-01,June,0.0,0.0,812.7,2845.08,927.92,3289.32,0.0,0.0
TAS MED(INDIA)PVT.LTD(VALL,2022-06-01,June,48678.72,39795.11,22234.43,35782.11,29911.82,34346.65,42908.09,44709.41
ENTOD GLOTEK DIVISION,2022-06-01,June,12478.04,10245.96,39602.64,22872.76,31580.62,19656.89,24501.8,16454.22
VKEY,2022-06-01,June,420.0,490.0,0.0,0.0,0.0,96.67,420.0,420.0
HICARE PHARMA,2022-06-01,June,37491.19,33518.75,3859.8,8051.8,4283.97,3395.21,35253.49,37144.42
MADHU INSTRUMENTS PVT. LTD,2022-06-01,June,230.0,996.67,1150.0,383.33,1100.0,733.33,230.0,613.33
ENTOD PHAMA(ENSIGHT),2022-06-01,June,56054.95,37268.66,82505.64,62902.24,94481.44,60919.55,57101.2,47929.39
SENSES PHARMACEUTICALS LTD,2022-06-01,June,65401.77,61527.23,45218.14,38841.78,53120.53,41997.33,61280.17,62109.02
AUROLAB,2022-06-01,June,11376.32,12692.56,3669.3,3683.5,389.1,4357.72,14883.79,12744.64
FSD CARE PHRAMA PVT LTD,2022-06-01,June,6208.2,6208.2,0.0,0.0,0.0,0.0,6208.2,6208.2
HIS EYENESS OPTHALMICS,2022-06-01,June,209721.9,225027.63,47678.92,72895.42,106849.73,107236.5,156556.83,202235.83
SUNWAYS PHARMACEUTICALS(OR,2022-06-01,June,47522.22,38368.71,47753.23,46962.27,51412.26,42814.25,49329.72,47034.62
TASMED(INDIA) PVT.LTD(ASPI,2022-06-01,June,5794.78,3326.1,2987.88,5004.87,2957.64,3932.45,5794.78,4759.72
SHERINGS,2022-06-01,June,17452.28,16777.11,2693.7,8647.13,4040.81,7768.91,17662.18,18319.45
OTHERS,2022-06-01,June,175.0,116.67,0.0,58.33,0.0,0.0,175.0,175.0
OCUZEN HEALTH CARE,2022-06-01,June,9571.38,11278.88,8421.6,4937.53,10565.51,8273.27,8405.63,8497.06
APPLE PHARMACEUTICALS,2022-06-01,June,5358.96,4556.4,9463.41,7606.5,11868.2,8006.73,4066.02,4927.98
SUNWAYS PHARMACEUTICALS(RE,2022-06-01,June,12708.65,14742.28,19809.8,11020.86,22969.56,14173.1,12387.06,13358.49
EXELTIS,2022-06-01,June,0.0,525.68,23655.57,13928.67,9600.0,10759.68,15770.3,5782.45
CADILA,2022-06-01,June,0.0,0.0,63.5,63.5,67.5,67.5,0.0,0.0
ENTOD PHARMA-G TECH,2022-06-01,June,42574.48,33703.69,52696.53,53291.34,50664.95,48068.64,50538.1,44755.17
DISPOVAN,2022-06-01,June,246.0,198.67,3178.5,1979.0,3293.0,2017.67,410.0,335.33
COASTAL HEALTH CARE,2022-06-01,June,0.0,0.0,44.0,44.0,0.0,0.0,44.0,44.0
TASMED (INDIA) PVT LTD(PAS,2022-06-01,June,46980.6,34769.31,54194.22,49535.33,46288.87,42127.32,60613.91,46387.86
HIMEDIA LABORATORIES PVT L,2022-06-01,June,1168.75,1168.75,0.0,0.0,0.0,0.0,1168.75,1168.75
THE RAMARAJU COTTON MILLS,2022-06-01,June,162.0,54.0,324.0,670.0,535.0,733.0,0.0,54.0
ZIVIRA LABS PVT.LTD,2022-06-01,June,272759.04,238413.88,82020.41,102109.85,89602.83,105750.82,261644.03,258368.47
SHERWYN PHARMACEUTICALS PV,2022-06-01,June,515.9,515.9,0.0,0.0,0.0,0.0,515.9,515.9
ALLERGAN INDIA PVT LTD,2022-06-01,June,12996.4,15638.38,18627.48,7952.38,14158.43,8229.06,18660.75,15815.17
ALKEM LABORATORIES LTD,2022-06-01,June,0.0,0.0,100.0,128.75,110.0,142.5,0.0,0.0
DIAMOND MEDI CARE,2022-06-01,June,0.0,0.0,5300.0,3760.0,4380.0,3545.0,1720.0,860.0
SUTURES INDIA,2022-06-01,June,270.0,270.0,0.0,0.0,300.0,100.0,0.0,180.0
SURGICARE,2022-06-01,June,1320.0,1320.0,433.75,1168.33,462.5,1291.67,1320.0,1320.0
LENORA GLOVE PVT.LTD,2022-06-01,June,662.5,662.5,0.0,0.0,0.0,0.0,662.5,662.5
APPASAMY OCULAR DEVICES P,2022-06-01,June,55482.79,40192.61,48701.4,50464.25,62891.71,49933.03,50891.52,48840.84
SUNWAYS PHARMACEUTICALS,2022-06-01,June,138360.62,108762.98,156063.99,165491.06,82725.23,125449.04,222888.28,163986.41
SHERWYN PHARMA(GENORA),2022-06-01,June,38.58,38.58,0.0,0.0,0.0,0.0,38.58,38.58
ENTOD PHARMACEUTICALS LTD,2022-06-01,June,32069.23,43935.13,50637.3,47850.34,53469.98,60141.92,37629.47,38673.92
DYNAMIC TECHNO MEDICALS PV,2022-06-01,June,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0
ZIVIRA ASTRA DIVISION,2022-06-01,June,113964.11,69925.97,65459.29,56600.65,46665.1,35568.44,128855.14,99783.58
AJANTA PHARMA LTD,2022-06-01,June,8607.66,4448.41,12521.49,9800.79,5570.23,4731.84,15786.27,9710.5
SUBHAM PHARMACEUTICALS,2022-06-01,June,6060.76,6060.76,0.0,0.0,0.0,0.0,6060.76,6060.76
NEON LABORATORIES LTD,2022-06-01,June,0.0,0.0,1547.0,3947.75,1320.0,4208.75,425.0,212.5
BORN HEALTHCARE PVT LTD,2022-06-01,June,23.5,23.5,337.5,181.67,360.0,196.83,23.5,23.5
MEDIKLIN HEALTHCARE LTD,2022-07-01,July,362.5,894.17,600.0,541.67,540.0,998.33,507.5,652.5
RAMAN&WEIL PVT LTD,2022-07-01,July,420.0,720.0,2780.0,1730.0,530.0,1323.33,2544.0,1228.0
SANGAM HEALTHCARE (SAFTI-N,2022-07-01,July,318.75,131.75,63.75,233.75,277.5,221.3,127.5,161.5
CLARIS OSTUKA,2022-07-01,July,3210.0,1070.0,2430.4,1280.13,2516.4,1322.83,107.0,1105.67
CIPLA,2022-07-01,July,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
GLASS VAN,2022-07-01,July,0.0,0.0,235.0,164.5,250.0,181.67,0.0,0.0
PRIDE&PRIME PHARMACEUTICAL,2022-07-01,July,13344.96,13344.96,0.0,0.0,0.0,0.0,13344.96,13344.96
CARE GROUP,2022-07-01,July,45322.91,52091.48,0.0,2260.16,21810.93,14339.0,25727.66,41453.29
REGAL LABORATORIES,2022-07-01,July,0.0,0.0,540.0,540.0,580.0,580.0,0.0,0.0
TAS MED(INDIA)PVT.LTD(VALL,2022-07-01,July,42908.09,44709.41,809.47,21020.12,13172.18,26743.68,31356.01,40980.94
ENTOD GLOTEK DIVISION,2022-07-01,July,24501.8,16454.22,33540.85,28786.1,42060.5,29771.07,23956.68,20312.17
VKEY,2022-07-01,July,420.0,420.0,0.0,0.0,0.0,0.0,420.0,420.0
HICARE PHARMA,2022-07-01,July,35253.49,37144.42,9036.0,5529.27,6559.34,4854.17,35879.37,36208.02
AMERICAN PHARMA REMEDIES L,2022-07-01,July,0.0,0.0,200.0,200.0,212.5,212.5,0.0,0.0
MADHU INSTRUMENTS PVT. LTD,2022-07-01,July,230.0,613.33,1150.0,766.67,1555.0,1251.67,0.0,153.33
ENTOD PHAMA(ENSIGHT),2022-07-01,July,57101.2,47929.39,108630.05,87861.07,92236.16,81447.23,85517.65,66224.6
SENSES PHARMACEUTICALS LTD,2022-07-01,July,61280.26,62109.11,20610.0,33136.12,26016.88,36642.17,58853.72,61845.19
AUROLAB,2022-07-01,July,14883.79,12744.64,0.0,2742.5,3202.32,3361.7,11926.99,12729.03
FSD CARE PHRAMA PVT LTD,2022-07-01,July,6208.2,6208.2,0.0,0.0,0.0,0.0,6208.2,6208.2
HIS EYENESS OPTHALMICS,2022-07-01,July,156557.06,202236.15,101752.7,67806.92,107500.66,102640.77,169671.88,178650.09
SUNWAYS PHARMACEUTICALS(OR,2022-07-01,July,49329.8,47034.67,17718.61,34115.5,28250.35,38461.84,41083.8,45978.56
TASMED(INDIA) PVT.LTD(ASPI,2022-07-01,July,5794.78,4759.72,7193.71,7004.22,6032.39,5943.24,7614.71,6401.42
SHERINGS,2022-07-01,July,17662.18,18319.45,7232.0,3308.57,11137.87,6166.23,15816.54,16977.0
OCUZEN HEALTH CARE,2022-07-01,July,8405.63,8497.06,9908.0,8240.2,12163.87,9149.5,7954.4,8643.8
APPLE PHARMACEUTICALS,2022-07-01,July,4066.02,4927.98,5098.5,4853.97,0.0,3956.07,9511.02,6312.0
SUNWAYS PHARMACEUTICALS(RE,2022-07-01,July,12387.06,13358.49,19561.25,14473.63,12067.84,13917.25,22497.72,15864.48
EXELTIS,2022-07-01,July,15770.38,5782.47,0.0,11300.27,10066.2,11555.08,7885.19,7885.16
CADILA,2022-07-01,July,0.0,0.0,63.5,63.5,67.5,67.5,0.0,0.0
ENTOD PHARMA-G TECH,2022-07-01,July,50538.1,44755.17,65035.97,53051.33,64095.23,53172.24,59134.44,50749.01
OTHERS,2022-07-01,July,175.0,175.0,1005.0,335.0,0.0,0.0,1210.0,520.0
DISPOVAN,2022-07-01,July,410.0,335.33,2438.5,2202.67,2862.5,2450.17,235.0,297.0
COASTAL HEALTH CARE,2022-07-01,July,44.0,22.0,0.0,22.0,0.0,0.0,44.0,44.0
TASMED (INDIA) PVT LTD(PAS,2022-07-01,July,60613.94,46387.95,20789.6,42799.56,50222.29,46075.9,34442.25,47345.52
HIMEDIA LABORATORIES PVT L,2022-07-01,July,1168.75,1168.75,0.0,0.0,0.0,0.0,1168.75,1168.75
THE RAMARAJU COTTON MILLS,2022-07-01,July,0.0,54.0,486.0,540.0,525.0,593.33,0.0,54.0
ZIVIRA LABS PVT.LTD,2022-07-01,July,261644.29,258368.7,104738.4,93208.15,94860.91,97787.77,250008.19,261470.36
SHERWYN PHARMACEUTICALS PV,2022-07-01,July,515.9,515.9,0.0,0.0,0.0,0.0,515.9,515.9
ALLERGAN INDIA PVT LTD,2022-07-01,July,18660.75,15815.17,5289.75,7972.41,9373.73,8752.76,14902.71,15519.95
DIAMOND MEDI CARE,2022-07-01,July,1720.0,573.33,2280.0,3266.67,3540.0,3543.33,1160.0,960.0
MEDIPRIDE,2022-07-01,July,0.0,0.0,258.0,258.0,0.0,0.0,258.0,258.0
SURGICARE,2022-07-01,July,1320.0,1320.0,1725.0,1151.67,1825.0,1237.5,1320.0,1320.0
LENORA GLOVE PVT.LTD,2022-07-01,July,662.5,662.5,0.0,0.0,0.0,0.0,662.5,662.5
APPASAMY OCULAR DEVICES P,2022-07-01,July,50891.52,48840.84,41500.3,47330.47,45260.98,50360.94,53955.53,53443.28
SUNWAYS PHARMACEUTICALS,2022-07-01,July,222888.42,163986.62,183185.39,162974.54,201927.94,146623.06,249321.07,203523.23
SHERWYN PHARMA(GENORA),2022-07-01,July,38.58,38.58,0.0,0.0,0.0,0.0,38.58,38.58
ENTOD PHARMACEUTICALS LTD,2022-07-01,July,37629.47,38673.92,40950.7,43448.7,46411.98,53397.03,38589.86,36096.19
BARODA SURGICAL BIOMEDS,2022-07-01,July,0.0,0.0,550.0,550.0,625.0,625.0,0.0,0.0
DYNAMIC TECHNO MEDICALS PV,2022-07-01,July,175.0,175.0,0.0,0.0,0.0,0.0,175.0,175.0
ZIVIRA ASTRA DIVISION,2022-07-01,July,128855.29,99783.65,29416.3,55138.08,37219.38,38304.91,112252.3,118357.17
JMS CO LTD,2022-07-01,July,0.0,0.0,3630.0,3516.67,3905.0,3785.0,0.0,0.0
AJANTA PHARMA LTD,2022-07-01,July,15786.27,9710.5,0.0,7624.05,6762.38,6362.98,9299.91,11231.28
SUBHAM PHARMACEUTICALS,2022-07-01,July,6060.76,6060.76,0.0,0.0,0.0,0.0,6060.76,6060.76
NEON LABORATORIES LTD,2022-07-01,July,425.0,141.67,883.5,2926.33,977.5,3131.67,425.0,283.33
BORN HEALTHCARE PVT LTD,2022-07-01,July,23.5,23.5,67.5,135.0,72.0,144.0,23.5,23.5
MEDIKLIN HEALTHCARE LTD,2022-08-01,August,507.5,652.5,1075.0,766.67,945.0,1073.33,797.5,555.83
RAMAN&WEIL PVT LTD,2022-08-01,August,2544.0,1228.0,0.0,1230.0,0.0,633.33,2544.0,1836.0
SANGAM HEALTHCARE (SAFTI-N,2022-08-01,August,127.5,161.5,0.0,233.75,0.0,221.3,127.5,191.25
CLARIS OSTUKA,2022-08-01,August,107.0,1105.67,1939.6,1645.0,2048.0,1705.0,107.0,1141.33
RAMSONS,2022-08-01,August,0.0,0.0,520.0,514.83,475.0,583.33,112.5,37.5
CIPLA,2022-08-01,August,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
PRIDE&PRIME PHARMACEUTICAL,2022-08-01,August,13344.96,13344.96,3053.5,1017.83,9250.4,3083.47,10709.31,12466.41
CARE GROUP,2022-08-01,August,25727.66,41453.29,0.0,-862.84,88.2,8989.7,25658.71,32236.43
TAS MED(INDIA)PVT.LTD(VALL,2022-08-01,August,31356.01,40980.94,741.77,7928.56,3059.94,15381.31,29311.36,34525.15
ENTOD GLOTEK DIVISION,2022-08-01,August,23956.68,20312.17,21589.5,31577.66,36109.03,36583.38,14174.05,20877.51
VKEY,2022-08-01,August,420.0,420.0,0.0,0.0,0.0,0.0,420.0,420.0
HICARE PHARMA,2022-08-01,August,35879.37,36208.02,9913.8,7603.2,9474.76,6772.69,41439.99,37524.28
