itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"ENTOD PHARMACEUTICALS LTD","","","","","","","","",""
"4QUIN                         5ML"," 22","1470.99","  -","0.00","  -","0.00"," 22","1470.99"," 15"
"4QUIN E/O                     5GM"," 24","1261.89","  -","0.00","  3","240.46"," 21","1104.15","  -"
"4QUIN KT E/D                  5ML"," 20","1280.44","  -","0.00","  -","0.00"," 20","1280.44"," 19"
"4QUIN-D                       5ML","101","4329.07","  -","0.00"," 65","3571.50"," 36","1543.04","  -"
"CYCLOTEARS E/D                3ML"," 75","11472.07","  -","0.00"," 70","12219.62","  5","764.80","  -"
"ENTODASE                      10","  1","1228.18","  5","6140.90","  1","1364.64","  5","6140.90","  -"
"EYECIRQUE PRO                 1S"," 13","3425.26"," 22","5796.60"," 11","3027.08"," 24","6323.56","  -"
"HYSIGHT                       5ML"," 28","2963.05","  -","0.00","  -","0.00"," 28","2963.05","  -"
"I-BORIC                       10ML","  9","496.23"," 30","1654.09","  4","282.76"," 35","1929.77","  4"
"I-DEW DS                      10ML","163","15465.83","100","7590.38"," 94","8848.09","169","16035.1","  -"
"I-DEW MEGA CAP                10S"," 12","1446.51","  -","0.00","  -","0.00"," 12","1446.51","  -"
"I-DEW OINT                    5GM","  1","75.73","  -","0.00","  -","0.00","  1","75.73","  1"
"I-DEW SOOTH                   5ML"," 11","858.22"," 30","2340.60","  2","682.99"," 39","3042.78","  1"
"KLS DROPS                     5ML"," 24","1109.60","  -","0.00","  -","0.00"," 24","1109.60","  -"
"LOCTEARS FUSION               10ML","  7","664.13","  -","0.00","  1","136.95","  6","569.25","  -"
"NEPATOP FREE                  5ML"," 38","4987.50","  -","0.00","  -","0.00"," 38","4987.50","  -"
"OPTIHIST E/D                  5ML"," 20","747.83","  -","0.00","  -","0.00"," 20","747.83","  -"
"OPTIHIST-CROMZ                5ML","  6","303.75","  -","0.00","  -","0.00","  6","303.75","  4"
"OPTIHIST-PLUS                 5ML"," 78","4786.36"," 55","3375.03"," 97","5881.14"," 36","2209.09","  -"
"","","","","","","","","",""
"TOTAL","3698","249405.41","5595","266342.16","5435","302378.35","3858","257233.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..5","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"OPTITHROCIN OINT              5GM","110","7307.30","100","6643.00","110","7728.46","100","6643.00","  -"
"OPTIVIRAL OINT                5GM","  6","210.47","  -","0.00","  -","0.00","  6","210.47","  -"
"PHENOCAINE PLUS               5AMP*1ML"," 13","5049.49"," 48","18643.17"," 47","24339.42"," 14","5437.92","  -"
"PREDPLUS                      10ML"," 25","1069.50"," 25","1069.50"," 25","1162.50"," 25","1069.50","  -"
" TOTAL","807","72009.40","415","53253.27","530","69485.61","692","67408.7","  0"
"","","","","","","","","",""
"ETHICON","","","","","","","","",""
"ETHILON 10-0 NW3719           1S","  -","0.00"," 12","5895.72"," 12","7320.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 12","5895.72"," 12","7320.00","  0","0.00","  0"
"","","","","","","","","",""
"EXELTIS","","","","","","","","",""
"IRIGAN-P                      500ML","  1","131.42","  -","0.00","  -","0.00","  1","131.42","  -"
" TOTAL","  1","131.42","  0","0.00","  0","0.00","  1","131.42","  0"
"","","","","","","","","",""
"FDC","","","","","","","","",""
"PILOCAR 2% E/D                5ML","  -","0.00"," 25","1054.68"," 10","439.82"," 15","632.81","  -"
" TOTAL","  0","0.00"," 25","1054.68"," 10","439.82"," 15","632.81","  0"
"","","","","","","","","",""
"FSD CARE PHRAMA PVT LTD","","","","","","","","",""
"LUBI DROPS-ULTRA              10ML"," 13","2188.80","  -","0.00","  -","0.00"," 13","2188.80"," 13"
"LUBIDROPS 10ML                10ML"," 26","1716.40","  -","0.00","  -","0.00"," 26","1716.40"," 26"
"MOXY DROPS                    5ML"," 14","852.60","  -","0.00","  -","0.00"," 14","852.60"," 14"
"OLOACT                        5ML"," 26","1450.40","  -","0.00","  -","0.00"," 26","1450.40"," 26"
" TOTAL"," 79","6208.20","  0","0.00","  0","0.00"," 79","6208.20","  0"
"","","","","","","","","",""
"G.T.RAJ TEX","","","","","","","","",""
"GAUZE CLOTH 18M               1S","  -","0.00","  1","188.00","  1","198.00","  -","0.00","  -"
" TOTAL","  0","0.00","  1","188.00","  1","198.00","  0","0.00","  0"
"","","","","","","","","",""
"HICARE PHARMA","","","","","","","","",""
"CD EYE OINT                   5GM","  7","405.16","  3","0.00","  -","0.00"," 10","578.80","  7"
"HIBROM E/D                    5ML"," 32","2760.64","  8","0.00","  -","0.00"," 40","3450.80","  -"
"HICOOL E/D                    5ML"," 24","1609.74","  4","0.00"," 21","1100.29","  7","469.51","  -"
"HICOOL EXCEL                  10ML"," 40","8775.20","  -","0.00"," 30","4364.92"," 10","2193.80","  -"
"HICOOL PF GEL                 5GM"," 20","2430.00"," 55","6075.00"," 66","6882.30","  9","1093.50","  -"
"HIMYCIN E/O                   5GM","  6","421.20","150","7020.00","102","6630.00"," 54","3790.80","  -"
"HIOXY TAB                     10S","  9","676.23","  -","0.00","  -","0.00","  9","676.23","  9"
"IOMIDE                        10'S"," 31","866.14"," 44","558.80"," 49","1065.01"," 26","726.44","  -"
"MAXDIL PLUS                   5ML"," 40","1960.40","  -","0.00","  -","0.00"," 40","1960.40"," 40"
"OCULATE                       5ML"," 20","772.80","  -","0.00","  -","0.00"," 20","772.80"," 20"
"OPTICHIL                      10ML","  1","82.35","  -","0.00","  -","0.00","  1","82.35","  1"
"ZOBRA OINT                    5GM"," 10","504.70","  3","0.00","  -","0.00"," 13","656.11","  -"
"ZOBRA-F                       5ML"," 25","1957.50","  -","0.00","  -","0.00"," 25","1957.50"," 25"
" TOTAL","265","23222.06","267","13653.80","268","20042.52","264","18409.0","  0"
"","","","","","","","","",""
"HIMEDIA LABORATORIES PVT LTD","","","","","","","","",""
"ST.COTTON SWABS               100S","  1","1168.75","  -","0.00","  -","0.00","  1","1168.75","  1"
"","","","","","","","","",""
"TOTAL","4198","293772.60","6073","313490.03","5908","363609.07","4363","297144.","  0"
"","","","Continued .","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..6","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
" TOTAL","  1","1168.75","  0","0.00","  0","0.00","  1","1168.75","  0"
"","","","","","","","","",""
"HIS EYENESS OPTHALMICS","","","","","","","","",""
"ACCUNAC E/D                   5ML","140","15923.39","  -","0.00"," 72","9341.53"," 68","7734.22","  -"
"ALFABET PF E/D                10ML"," 52","13320.00"," 13","3330.00"," 39","10878.00"," 26","6660.00","  -"
"AQUIM                         5ML","179","16263.94","  -","0.00","  2","296.80","177","16082.2"," 25"
"AQUIM GEL                     10GM","152","27295.14","  -","0.00"," 76","14955.52"," 76","13647.5","  -"
"AQUIM LID WIPES               10S","  3","263.59","  -","0.00","  -","0.00","  3","263.59","  2"
"AQUIM LID WIPES               20S"," 62","11349.10","  5","0.00"," 39","7322.10"," 28","5125.40","  -"
"AQUIM PF                      10ML"," 52","15171.60","130","37929.00","152","51207.96"," 30","8752.85","  1"
"AQUIM T E/D                   10ML"," 65","14914.50","  -","0.00","  -","0.00"," 65","14914.5","  -"
"AQUIM T E/D                   5ML"," 81","9933.72","  -","0.00","  6","1034.50"," 75","9197.89","  -"
"AWARENE PF                    5ML"," 35","10990.27","  -","0.00","  -","0.00"," 35","10990.2","  -"
"DORBET PF                     10ML","  6","2214.65","  -","0.00","  -","0.00","  6","2214.65","  -"
"ERPETOL E/D                   5ML","151","10807.57","  -","0.00"," 26","2385.80","125","8946.66","  1"
"EYEMAC E/D                    10ML"," 74","4464.48","  -","0.00"," 39","3042.90"," 35","2111.58","  -"
"EYEMAC GB                     10ML"," 75","7194.81","  -","0.00","  -","0.00"," 75","7194.81","  8"
"EYEMAC GEL                    10ML"," 12","1163.08","  -","0.00","  -","0.00"," 12","1163.08","  -"
"EYENESS WIPES                 20S"," 39","4759.20"," 39","4759.20"," 39","5252.85"," 39","4759.20","  -"
"LAURICA K                     10S"," 65","9065.18","  -","0.00","  -","0.00"," 65","9065.18","  -"
"MAXIM E/D                     5ML"," 37","3549.44","  -","0.00","  -","0.00"," 37","3549.44","  -"
"MAXIM GEL                     5ML","230","23361.86","300","30472.00","225","24885.63","305","30979.8","  -"
"MAXIM L                       5ML","300","27258.00","  -","0.00","152","15136.94","148","13447.2","  -"
"MAXIM-D                       5ML","151","14075.36","600","52200.00","365","35235.00","386","35980.7","  -"
"PREDINA E/D                   10ML","125","4620.00"," 50","1960.50"," 75","3267.75","100","3696.00","  -"
"VCOLUX                        10'S","140","15507.69","  -","0.00","  -","0.00","140","15507.6","  -"
"VCOLUX C TAB                  10S","152","13108.48","  -","0.00","  -","0.00","152","13108.4","  2"
" TOTAL","2378","276575.04","1137","130650.70","1307","184243.28","2208","245093.","  0"
"","","","","","","","","",""
"JMS CO LTD","","","","","","","","",""
"MEDITAPE 310                  12S","  -","0.00","  2","702.00","  2","760.00","  -","0.00","  -"
" TOTAL","  0","0.00","  2","702.00","  2","760.00","  0","0.00","  0"
"","","","","","","","","",""
