"106","AUROCLEAN","                  35ML","AUROLAB"
"107","AUROCORT","                  1ML","AUROLAB"
"108","AURODONE","                  5ML","AUROLAB"
"109","AUROFLUR","                  5ML","AUROLAB"
"110","AUROHOM","                  5ML","AUROLAB"
"111","AUROMIDE","                  5ML","AUROLAB"
"112","AUROMIDE","PLUS                 5ML","AUROLAB"
"113","AUROPENT","                  5ML","AUROLAB"
"114","AUROTIM","                  5ML","AUROLAB"
"115","AUTOGLAVE","TAPE 3M             1S","3MIL"
"","","","           Continued..3"
"","","",""
"","","",""
"","","",""
"","","",""
"SRI HAN","","",""
"LIST OF","","",""
"","","","             Page No..3"
"SNo.","ITEM CODE","ITEM DESCRIPTION","Company"
"116","AVIL AMP","                  10S","SANOFI INDIA"
"117","AWARENE PF","                  5ML","HIS EYENESS OPTHALMICS"
"118","AWARENE T","PF                  5ML","HIS EYENESS OPTHALMICS"
"119","AXL-CV","                  6S","INDOCO WARREN EXCEL"
"120","AZEE 500","                  3S","CIPLA"
"121","AZENATE","NASAL SPRAY           9.8ML","ENTOD PHARMA-G TECH"
"122","AZIFORCE","500TAB               3S","ENTOD PHARMA-G TECH"
"123","AZILEAD-500","                  3S","SHERWYN PHARMA(GENORA)"
"124","AZITHRAL","OINT                 5GM","ALEMBIC PHARMACEUTICALS LT"
"125","AZOTAS TAB","                  10S","TAS MED(INDIA)PVT.LTD(VALL"
"126","B-CAINE","10ML                  1S","APPASAMY OCULAR DEVICES P"
"127","B-FLOREN","                  5ML","INDOCO WARREN EXCEL"
"128","BACILLOCID","EXTRA              500ML","RAMAN&WEIL PVT LTD"
"129","BACILLOL 25","                  250ML","RAMAN&WEIL PVT LTD"
"130","BACTISAFE","                  1000ML","LUPIN LTD"
"131","BACTO-PRIDE","                  5GM","PRIDE&PRIME PHARMACEUTICAL"
"132","BACTORUB","BLUE                 500ML","RAMAN&WEIL PVT LTD"
"133","BACTTOL 25","                  1S","RAMAN&WEIL PVT LTD"
"134","BD ALCOHOL","SWABS              100S","BECTON DICKINSON & COMPANY"
"135","BD CONNECTA","10CM              1S","BECTON DICKINSON & COMPANY"
"136","BD CONNECTA","3W                1S","BECTON DICKINSON & COMPANY"
"137","BD EMERALD","3ML                1'S","BECTON DICKINSON & COMPANY"
"138","BD INSULIN","31G 1ML            10S","BECTON DICKINSON & COMPANY"
"139","BD VENFLON","                  1S","BECTON DICKINSON & COMPANY"
"140","","BECOME+FORTE                  15S","WINTAAS PHARMA"
"141","BECTODINE","                  2LTR","RANBAXY"
"142","BED BATH","ECO                  10'S","DISPOVAN"
"143","BED CLOTH","2MT                 1S","OTHERS"
"144","BED PAN 3G","                  1S","3G SURGICAL INDUSTRIES PVT"
"145","BELT ROYAL","                  1S","OTHERS"
"146","BENMEC","                  10S","TAS MED(INDIA)PVT.LTD(VALL"
"147","BENOSAFE-XT","                  10'S","WELNINNOV PHARMACEUTICALS"
"148","BEPIREX","                  5ML","ZIVIRA ASTRA DIVISION"
"149","BEPODROPS","E/D                 5ML","INTAS PHARMACEUTICALS PVT"
"150","BEPOKUL","                  5ML","NEOMEDIX HEALTHCARE INDIA"
"151","BESIVANCE","E/D                 5ML","IPCA LABORATORIES LTD"
"152","BESIX","                  5ML","AJANTA PHARMA LTD"
"153","BETAMETH","                  5ML","ENTOD PHARMACEUTICALS LTD"
"154","BETOACT","                  5ML","AJANTA PHARMA LTD"
"155","BIDIN LS","DROPS                5ML","AJANTA PHARMA LTD"
"156","BIMAT-LS","                  3ML","AJANTA PHARMA LTD"
"157","BIODYLE-C","                  5ML","SHERINGS"
"158","BIOFLEX","FORTE                 15S","DE-CROSS"
"159","BITOD LS","                  3ML","ENTOD PHAMA(ENSIGHT)"
"160","BLACK SILK","3-0 R-82           1S","JOHNSON & JOHNSON"
"161","BLOMIG-10","                  10S","KLARSEHEN"
"162","BLOMIG-P","                  10S","KLARSEHEN"
"163","BLUERHEXIX","                  5S","CARE GROUP"
"164","BLUETOD","                  5*1ML","ENTOD GLOTEK DIVISION"
"165","BLURHEX","                  1ML","SENSES PHARMACEUTICALS LTD"
"166","BOTAS","                  5ML","SUNWAYS PHARMACEUTICALS(RE"
"167","BPROS","                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"168","BPROS-T","                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"169","BRIMOTAS-T","                  5ML","INTAS PHARMACEUTICALS PVT"
"170","BRIMZEE-T","                  5ML","EYEKENZ HEALTHCARE PVT LTD"
"171","BRINZNEAL","                  5ML","AMNEAL HEALTHCARE PVT LTD"
"172","BRIO","                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"173","BRIO-B","                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"174","BRIO-T","                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"175","BRITIVIN","E/D                  5ML","ZIVIRA LABS PVT.LTD"
"176","BRITNEAL","                  5ML","AMNEAL HEALTHCARE PVT LTD"
"","","","           Continued..4"
"","","",""
"","","",""
"","","",""
"","","",""
"SRI HAN","","",""
"LIST OF","","",""
"","","","             Page No..4"
"SNo.","ITEM CODE","ITEM DESCRIPTION","Company"
"177","BRIVEX","                  5ML","AJANTA PHARMA LTD"
"178","BROMICARE","E/D                 5ML","VISION CARE PHARMACEUTICAL"
"179","BRONKOLYTE","LEVO PD SYR        60ML","ENTOD PHARMA-G TECH"
"180","BRONKOLYTE","LEVO SYP           100ML","ENTOD PHARMA-G TECH"
"181","BSSOL 500","                  1S","ENTOD GLOTEK DIVISION"
"182","BUFFANT CAP","                  1'S","CHC"
"183","BUSCOGAST","AMP                 1ML","SANOFI-SYNTHALABO PVT LTD"
"184","BUTODOL-1","                  1S","NEON LABORATORIES LTD"
"185","BYSIPIN","                  5ML","NEOMEDIX HEALTHCARE INDIA"
"186","C-NAC","                  10ML","INTAS PHARMACEUTICALS PVT"
"187","C-PENT","                  5ML","APPASAMY OCULAR DEVICES P"
"188","C1 OINT","                  5GM","APPLE PHARMACEUTICALS"
"189","CADIDINE","                  500ML","GERMAN REMEDIES"
"190","CALPOL 250","SYP                60ML","GLAXOSMITHKLINEPHARMACEUTI"
"191","CANDOR PF","                  10ML","HIS EYENESS OPTHALMICS"
"192","CANNULA","NEEDLE                1S","CARE GROUP"
"193","CANZO PRIDE","TAB               10S","PRIDE&PRIME PHARMACEUTICAL"
"194","CAP HEAD","                  100S","OTHERS"
"195","CAP-SR CAPS","                  10S","SUNWAYS PHARMACEUTICALS(OR"
"196","CARE TEARS","GEL                15ML","KLARSEHEN"
"197","CARELUB","                  10ML","CARE GROUP"
"198","CARELUB-DS","                  10ML","CARE GROUP"
"199","CAREPRED","                  10ML","CARE GROUP"
"200","CAROKID","JELLIES               75GM","SUNWAYS PHARMACEUTICALS(RE"
"201","CARPINOL","0.5%                 1ML","SUNWAYS PHARMACEUTICALS"
"202","CARPINOL 2%","E/D               5ML","SUNWAYS PHARMACEUTICALS"
"203","CATACARE","E/D                  10ML","VISION CARE PHARMACEUTICAL"
"204","CATAGON","                  10ML","ENTOD PHAMA(ENSIGHT)"
"205","CATAPRED","E/D                  10ML","SUNWAYS PHARMACEUTICALS"
"206","CATLON","                  10ML","OPTHO LIFE SCIENCES PVT.LT"
"207","CATOBAR","                  10ML","SHERINGS"
"208","CATOZEN E/D","                  10ML","OCUZEN HEALTH CARE"
"209","CCS GEL","                  10ML","OPTHO LIFE SCIENCES PVT.LT"
"210","CCS ULTRA","                  10ML","OPTHO LIFE SCIENCES PVT.LT"
"211","CD EYE OINT","                  5GM","HICARE PHARMA"
"212","CEFENTOD","200                  10S","ENTOD PHARMA-G TECH"
"213","CEFENTOD-CV","TAB               10'S","ENTOD PHARMA-G TECH"
"214","","CEFENTOD-KID DRY SYRUP        30ML","ENTOD PHARMA-G TECH"
"215","CEFRAX-200","                  10S","GENERIC"
"216","CELLWET","                  10ML","SENSES PHARMACEUTICALS LTD"
"217","CELWET","ULTRA                  10ML","SENSES PHARMACEUTICALS LTD"
"218","CENTLON","                  1S","CENTENIAL SURGICAL SUTURES"
"219","CETIMON","TABS                  10T","SUNWAYS PHARMACEUTICALS(RE"
"220","CETRILON","                  1LT","SPECTRUM BIOCIDES INDIA PV"
"221","CHAKMOX","OINT                  5GM","SUBHAM PHARMACEUTICALS"
"222","CIBRIM T","E/D                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"223","CIBRIM Z","E/D                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"224","CIFRAN 500","                  10S","SUN PHARMA LABORATORIES LT"
"225","CINZINE-25","                  10S","TAS MED(INDIA)PVT.LTD(VALL"
"226","CIPAM S 10","                  15S","TAS MED(INDIA)PVT.LTD(VALL"
"227","CIPLOX-500","                  10T","CIPLA"
"228","CITMET TAB","                  10S","SUNWAYS PHARMACEUTICALS"
"229","CLARNEAL","CAP                  30'S","AMNEAL HEALTHCARE PVT LTD"
"230","CLAVOBACT","TAB                 10S","SHERWYN PHARMA(GENORA)"
"231","CLEARSOL","500ML                1S","APPASAMY OCULAR DEVICES P"
"232","CLEARVUE","                  10ML","LAVUE PHARMA. PVT LTD"
"233","CLONAC PLUS","                  10S","LABORATE PHARMACEUTICALS I"
"234","CLOPOL-DX","OINT                5GR","APPLE PHARMACEUTICALS"
"235","CLORO-H","OINT                  5GM","EYEKENZ HEALTHCARE PVT LTD"
"236","CLYGAN","                  5GM","INDOCO WARREN EXCEL"
"237","COHEVISC","1.4                  1S","APPASAMY OCULAR DEVICES P"
"","","","           Continued..5"
"","","",""
"","","",""
"","","",""
"","","",""
"SRI HAN","","",""
"LIST OF","","",""
"","","","             Page No..5"
"SNo.","ITEM CODE","ITEM DESCRIPTION","Company"
"238","COMBIFLAM","SYP                 60ML","SANOFI INDIA"
"239","COMBIFLAM","TAB                 15S","SANOFI INDIA"
"240","COMBIGAN","                  5ML","ALLERGAN INDIA PVT LTD"
"241","COMFORTZ","                  10ML","AICE HEALTH CARE PVT LTD"
"242","COMFORTZ","EYE MASK             1'S","AICE HEALTH CARE PVT LTD"
"243","COMFORTZ-HA","                  10ML","AICE HEALTH CARE PVT LTD"
"244","COMPU .5%","                  10ML","SENSES PHARMACEUTICALS LTD"
"245","COMPU 1%","                  10ML","SENSES PHARMACEUTICALS LTD"
"246","COMPU-TG","OIN                  5GM","SENSES PHARMACEUTICALS LTD"
"247","CONTACAINE","SOL                5ML","CARE GROUP"
"248","CONTADINE","SOL                 5ML","CARE GROUP"
"249","CONTASOL","BSS 250ML GLASS      250ML","CARE GROUP"
"250","CONTASOL","BSS(PP)              250ML","CARE GROUP"
"251","CONTASOL","BSS(PP)              500ML","CARE GROUP"
"252","CONTASOL","GLASS 500ML          1'S","CARE GROUP"
"253","CORSOL XG","                  5ML","BERRY&HERBS PHARMA PVT LTD"
"254","CORT-S","100MG                  1S","NEON LABORATORIES LTD"
"255","CORTISON","OPTICHLOR            3GM","ENTOD PHARMACEUTICALS LTD"
"256","COTTON","GLOVES                 1PAIR","OTHERS"
"257","COTTON","ROLL25GM               16S","THE RAMARAJU COTTON MILLS"
"258","COTTON","ROLL400GM              1S","THE RAMARAJU COTTON MILLS"
"259","CRESAR 40MG","                  15S","CIPLA"
"260","CRESAR AM","                  15S","CIPLA"
"261","CRESAR H","TAB                  15S","CIPLA"
"262","CROMZ E/D","                  5ML","SHERINGS"
"263","CYCLOFEZ","                  5ML","ENTOD GLOTEK DIVISION"
"264","CYCLOPENT","                  5ML","SUN PHARMA LABORATORIES LT"
"265","CYCLOTEARS","E/D                3ML","ENTOD PHARMACEUTICALS LTD"
"266","CYNQ","                  5ML","NEOMEDIX HEALTHCARE INDIA"
"267","D 10 500ML","                  500ML","CLARIS OSTUKA"
"268","D 25% 100ML","                  1S","FRESENIUS KABI INDIAPVT LT"
"269","D3SIP","                  2'S","LAVUE PHARMA. PVT LTD"
"270","D5-500ML","                  1S","BAXTER INDIA PVT LTD"
"271","DAPIXA M","                  10'S","TAS MED(INDIA)PVT.LTD(VALL"
"272","DEIONISED","WATER 5L            5L","SOMA SCIENTIFICS&SURGICALS"
"273","DEPIN-10","                  30S","ZUDUS CADILA"
"274","DERIPHYLLIN","INJ               2ML","GERMAN REMEDIES"
"275","DERIPHYLLIN","RETARD 150        30'S","ZYDUS HEALTHCARE LTD."
"276","DERIPHYLLIN","RETARD300         30S","ZYDUS HEALTHCARE LTD."
"277","DETWAL 1LT","                  1LT","WALLACE PHARAMACEUTICALS P"
"278","DEXA ALKEM","                  2ML","ALKEM LABORATORIES LTD"
"279","DEXACORT-N","OINT               5GM","KLARSEHEN"
"280","DEXAGEE","PLUS                  2ML","GERMAN REMEDIES"
"281","DEXALAB-3ML","                  30ML","LABORATE PHARMACEUTICALS I"
"282","DEXASONE","2ML                  2ML","CADILA"
"283","DEXIMON-PX","                  5GM","ENTOD PHARMACEUTICALS LTD"
"284","DEXONA INJ","                  2ML","ZYDUS ALIDAC"
"285","DEXOREN-S","                  5ML","INDOCO WARREN EXCEL"
"286","","DI.240RETIBAND                1S","DIAMOND MEDI CARE"
"287","DI.30G","NEEDLE                 100S","DIAMOND MEDI CARE"
"288","DI.DOCTOR","KIT                 1S","DIAMOND MEDI CARE"
"289","DI.DRAPE","100*100              1S","DIAMOND MEDI CARE"
"290","DI.DRAPE","60*60                1S","DIAMOND MEDI CARE"
"291","DI.EYE","DRAIN                  1S","DIAMOND MEDI CARE"
"292","DI.EYE","DRAPE 50*40            20S","DIAMOND MEDI CARE"
"293","DI.EYE KIT","                  1S","DIAMOND MEDI CARE"
"294","DI.EYE PAD","6*6                1S","DIAMOND MEDI CARE"
"295","DI.FACE","MASK                  1S","DIAMOND MEDI CARE"
"296","DI.PATIENT","KIT(1062)          1S","DIAMOND MEDI CARE"
"297","DI.PLASTIC","DRAPE10X12MINI     1S","DIAMOND MEDI CARE"
"298","DI.RETITIRE","                  1S","DIAMOND MEDI CARE"
"","","","           Continued..6"
"","","",""
"","","",""
"","","",""
"","","",""
"SRI HAN","","",""
"LIST OF","","",""
"","","","             Page No..6"
"SNo.","ITEM CODE","ITEM DESCRIPTION","Company"
"299","DI.SHOE","COVER                 1S","DIAMOND MEDI CARE"
"300","DI.SPECIAL","DRAIN 90*75        1S","DIAMOND MEDI CARE"
"301","DI.SURGEON","CAP                1S","DIAMOND MEDI CARE"
"302","DI.SURGICAL","KIT               1S","DIAMOND MEDI CARE"
"303","DI.TROLLEY","DRAPE GR100*75     1S","DIAMOND MEDI CARE"
"304","DI.TROLLEY","DRAPE WH100*75     1S","DIAMOND MEDI CARE"
"305","DIAGLIT","SOFT                  50G","TAS MED(INDIA)PVT.LTD(VALL"
"306","DIANAREST","AQUA                5S","AMERICAN PHARMA REMEDIES L"
"307","DIASTIX","                  50S","BAYER"
"308","DIFLUMOX","                  5ML","AJANTA PHARMA LTD"
"309","DIGI.BP","TRUCHEK               1S","TRUCHEK"
"310","DIGITAL","B.P.CHECK             1S","OTHERS"
"311","DIGON 0.25","                  10'S","TAS MED(INDIA)PVT.LTD(VALL"
"312","DIMPLE E/D","                  10ML","SHERINGS"
"313","DIMPLE PLUS","                  10ML","SHERINGS"
"314","DIS.NDL 22","                  10S","DISPOVAN"
"315","DIS.SYG","20ML                  1S","DISPOVAN"
"316","DIS.SYG 2ML","WITOUT NEED       1S","DISPOVAN"
"317","DIS.SYG","50ML                  1S","DISPOVAN"
"318","DIS.SYG","50ML                  1S","DISPOVAN"
"319","DISPOCANN","ALCO SWABS          100S","HINDUSTAN SYRINGS & MEDICA"
"320","DISPOSIBLE","BED SHEET          1","MEDIKLIN HEALTHCARE LTD"
"321","DISPOVAN","16G NEEDLES          10S","DISPOVAN"
"322","DISPOVAN","1ML 26G              1S","DISPOVAN"
"323","DISPOVAN","1ML-30G              1S","DISPOVAN"
"324","DISPOVAN","1ML-31G              10'S","DISPOVAN"
"325","DISPOVAN","2ML SYG              1S","DISPOVAN"
"326","DISPOVAN","NDL 24               100S","DISPOVAN"
"327","DISPOVAN","NDL 26               100S","DISPOVAN"
"328","DISPOVAN","SYG 10ML             1S","DISPOVAN"
"329","DISPOVAN","SYG 20ML             1S","DISPOVAN"
"330","DISPOVAN","SYG 3ML              1S","DISPOVAN"
"331","DISPOVAN","SYG 50ML             1S","DISPOVAN"
"332","DISPOVAN","SYG 5ML              1S","DISPOVAN"
"333","DNS-500ML","                  1S","BAXTER INDIA PVT LTD"
"334","DOBUSTAT","5ML                  1S","SAMARTH LIFE SCIENCES PVT"
"335","DOLO-650","                  15S","MICRO LABS LTD"
"336","DOMIN 5ML","                  1S","NEON LABORATORIES LTD"
"337","DOPAKIT","                  10S","SHERINGS"
"338","DORBET PF","                  10ML","HIS EYENESS OPTHALMICS"
"339","DORSENZ","                  5ML","SENSES PHARMACEUTICALS LTD"
"340","DORSENZ-T","                  5ML","SENSES PHARMACEUTICALS LTD"
"341","DORSUN","                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"342","DORSUN T","                  5ML","SUNWAYS PHARMACEUTICALS(OR"
"343","DORTAS T","E/D                  5ML","INTAS PHARMACEUTICALS PVT"
"344","DORZEE","                  5ML","EYEKENZ HEALTHCARE PVT LTD"
"345","DORZEE-T","                  5ML","EYEKENZ HEALTHCARE PVT LTD"
"346","DOTAMIN 5ML","                  1S","NEON LABORATORIES LTD"
"347","DOTIN 25","                  15S","TASMED (INDIA) PVT LTD(PAS"
"348","DOTIN 50","                  10S","TASMED(INDIA) PVT.LTD(ASPI"
"349","DOTIN 50","                  15'S","TASMED (INDIA) PVT LTD(PAS"
"350","DOVAS CAPS","                  10S","SUNWAYS PHARMACEUTICALS(OR"
"351","DOXT-SL","                  10S","DR REDDY'S LABORATORIES"
"352","DROVOTAS-80","                  10S","TAS MED(INDIA)PVT.LTD(VALL"
"353","DROVOTAS-A","                  10'S","TAS MED(INDIA)PVT.LTD(VALL"
"354","DRU DROPS","                  10ML","SUNWAYS PHARMACEUTICALS(RE"
"355","DUCIRA GEL","                  10GM","ZIVIRA LABS PVT.LTD"
"356","DUO-2 E/D","                  5ML","ENTOD PHAMA(ENSIGHT)"
"357","DUOBRIM E/D","                  5ML","SENSES PHARMACEUTICALS LTD"
"358","DUOBRIM LS","                  5ML","SENSES PHARMACEUTICALS LTD"
"359","DUOBRIM-T","                  5ML","SENSES PHARMACEUTICALS LTD"
"","","","           Continued..7"
"","","",""
"","","",""
"","","",""
"","","",""
"SRI HAN","","",""
"LIST OF","","",""
"","","","             Page No..7"
"SNo.","ITEM CODE","ITEM DESCRIPTION","Company"
"360","DUOHALE","RESPULES              2.5ML*5","ENTOD PHARMA-G TECH"
"361","DURALUB E/D","                  10ML","SHERINGS"
"362","DURALUB","FUSION                10ML","SHERINGS"
"363","DURALUB-EG","                  5GM","SHERINGS"
"364","E-FLO DROPS","                  5ML","ENTOD PHAMA(ENSIGHT)"
"365","E-FLO E/O","                  5GM","ENTOD PHAMA(ENSIGHT)"
"366","E-SALIVA","PLUS MOUTHSPRAY      15ML","ENTOD PHARMA-G TECH"
"367","E.T TUBE","3.5R                 1S","RAMSONS"
"368","E.T TUBE","6.5R                 1S","RAMSONS"
"369","E.T TUBE 6P","                  1S","PORTEX"
"370","E.T TUBE","7.0R                 1S","RAMSONS"
"371","E.T TUBE","7.5                  1S","RAMSONS"
"372","E.T TUBE","8.5R                 1S","RAMSONS"
"373","E.T TUBE 8P","                  1S","PORTEX"
"374","E.T.TUBE","3.0                  1S","RAMSONS"
"375","E.T.TUBE 4","                  1S","RAMSONS"
"376","E.T.TUBE","5.0R                 1S","RAMSONS"
"377","EASYFIX M","                  1S","DYNAMIC TECHNO MEDICALS PV"
"378","ECG","ELECTRODS                 1S","3MIL"
"379","ECO TEARS","                  15ML","INTAS PHARMACEUTICALS PVT"
"380","ECO TEARS","GEL                 10ML","INTAS PHARMACEUTICALS PVT"
"381","ECOMOIST","ULTRA E/D            10ML","INTAS PHARMACEUTICALS PVT"
"382","EFIPRESS","1ML                  1ML","NEON LABORATORIES LTD"
"383","ELDOPAR CAP","                  10S","MICRO LABS LTD"
"384","EMFODEX","                  5ML","EXELTIS"
